"","Municipio","Explotación de la prostitución ajena","Explotación laboral","Circulación de pornografía","Utilización de menores de 18 años en hechos delictivos","Otras formas de explotación sexual","Esclavitud"
"1","Actopan",4,1,0,0,0,0
"2","Almoloya",1,1,0,0,0,0
"3","Apan",1,0,2,1,0,0
"4","Atotonilco de Tula",2,0,1,0,0,0
"5","Ciudad Sahagún",0,0,1,0,0,0
"6","Eloxochitlán",1,0,0,0,0,0
"7","Emiliano Zapata",1,0,0,0,0,0
"8","Estado de México",1,0,0,0,0,0
"9","Huejutla de Reyes",1,0,0,0,0,0
"10","Jacala de Ledezma",2,0,0,0,0,0
"11","Mineral de la Reforma",3,0,0,0,0,0
"12","Pachuca de Soto",7,1,7,0,1,0
"13","Tetepango",0,0,0,0,0,1
"14","Tezontepec de Aldama",1,0,0,0,0,0
"15","Tlaxcoapan",0,0,1,0,0,0
"16","Tula de Allende",4,0,0,0,0,0
"17","Tulancingo de Bravo",2,0,0,0,0,0
